symbol,date,isEnabled
BEAM,2020-04-09,true
BEAT,2020-04-09,true
BECN,2020-04-09,true
BEDU,2020-04-09,true
BELFA,2020-04-09,true
BELFB,2020-04-09,true
BEN,2020-04-09,true
BEP,2020-04-09,true
BEP-A,2020-04-09,true
BERY,2020-04-09,true
BEST,2020-04-09,true
BF.A,2020-04-09,true
BF.B,2020-04-09,true
BFAM,2020-04-09,true
BFC,2020-04-09,true
BFEB,2020-04-09,true
BFIN,2020-04-09,true
BFIT,2020-04-09,true
BFK,2020-04-09,true
BFO,2020-04-09,true
BFOR,2020-04-09,true
BFRA,2020-04-09,true
BFS,2020-04-09,true
BFS-D,2020-04-09,true
BFS-E,2020-04-09,true
BFST,2020-04-09,true
BFY,2020-04-09,true
BFYT,2020-04-09,true
BFZ,2020-04-09,true
BG,2020-04-09,true
BGB,2020-04-09,true
BGCP,2020-04-09,true
BGFV,2020-04-09,true
BGG,2020-04-09,true
BGH,2020-04-09,true
BGI,2020-04-09,true
BGIO,2020-04-09,true
BGNE,2020-04-09,true
BGR,2020-04-09,true
BGRN,2020-04-09,true
BGS,2020-04-09,true
BGSF,2020-04-09,true
BGT,2020-04-09,true
BGX,2020-04-09,true
BGY,2020-04-09,true
BH,2020-04-09,true
BH.A,2020-04-09,true
BHAT,2020-04-09,true
BHB,2020-04-09,true
BHC,2020-04-09,true
BHE,2020-04-09,true
BHF,2020-04-09,true
BHFAL,2020-04-09,true
BHFAP,2020-04-09,true
BHK,2020-04-09,true
BHLB,2020-04-09,true
BHP,2020-04-09,true
BHR,2020-04-09,true
BHR-B,2020-04-09,true
BHR-D,2020-04-09,true
BHTG,2020-04-09,true
BHV,2020-04-09,true
BHVN,2020-04-09,true
BIB,2020-04-09,true
BIBL,2020-04-09,true
BICK,2020-04-09,true
BIDU,2020-04-09,true
BIF,2020-04-09,true
BIG,2020-04-09,true
BIIB,2020-04-09,true
BIL,2020-04-09,true
BILI,2020-04-09,true
BILL,2020-04-09,true
BIMI,2020-04-09,true
BIO,2020-04-09,true
BIO.B,2020-04-09,true
BIOC,2020-04-09,true
BIOL,2020-04-09,true
BIOX,2020-04-09,true
BIOX+,2020-04-09,true
BIP,2020-04-09,true
BIPC,2020-04-09,true
BIS,2020-04-09,true
BIT,2020-04-09,true
BITA,2020-04-09,true
BIV,2020-04-09,true
BIZD,2020-04-09,true
BJ,2020-04-09,true
BJAN,2020-04-09,true
BJK,2020-04-09,true
BJRI,2020-04-09,true
BJUL,2020-04-09,true
BJUN,2020-04-09,true
BK,2020-04-09,true
BK-C,2020-04-09,true
BKCC,2020-04-09,true
BKD,2020-04-09,true
BKE,2020-04-09,true
BKEP,2020-04-09,true
BKEPP,2020-04-09,true
BKF,2020-04-09,true
BKH,2020-04-09,true
BKI,2020-04-09,true
BKK,2020-04-09,true
BKLC,2020-04-09,false
BKLN,2020-04-09,true
BKMC,2020-04-09,false
BKN,2020-04-09,true
BKNG,2020-04-09,true
BKR,2020-04-09,true
BKSC,2020-04-09,true
BKSE,2020-04-09,false
BKT,2020-04-09,true
BKTI,2020-04-09,true
BKU,2020-04-09,true
BKYI,2020-04-09,true
BL,2020-04-09,true
BLBD,2020-04-09,true
